Tests,Stat,Difference%
sqrdmulh_z_zzi,sme2_ssve_lat,0.36
sqrshl_z_p_zz,sme2_ssve_lat,0.36
sqrshlr_z_p_zz,sme2_ssve_lat,0.36
sqrshrn_z_mz2,sme2_ssve_lat,-2.75
sqrshrnb_z_zi,sme2_ssve_lat,0.36
sqrshrnt_z_zi,sme2_ssve_lat,0.36
sqrshrun_z_mz2,sme2_ssve_lat,-2.75
sqrshrunb_z_zi,sme2_ssve_lat,0.36
sqrshrunt_z_zi,sme2_ssve_lat,0.36
sqshl_z_p_zi,sme2_ssve_lat,0.36
sqshl_z_p_zz,sme2_ssve_lat,0.36
sqshlr_z_p_zz,sme2_ssve_lat,0.36
sqshlu_z_p_zi,sme2_ssve_lat,0.36
sqshrnb_z_zi,sme2_ssve_lat,0.36
sqshrnt_z_zi,sme2_ssve_lat,0.36
sqshrunb_z_zi,sme2_ssve_lat,0.36
sqshrunt_z_zi,sme2_ssve_lat,0.36
sqsub_z_p_zz,sme2_ssve_lat,0.36
sqsub_z_zi,sme2_ssve_lat,0.36
sqsub_z_zz,sme2_ssve_lat,0.37
sqsubr_z_p_zz,sme2_ssve_lat,0.36
sqxtnb_z_zz,sme2_ssve_lat,0.36
sqxtnt_z_zz,sme2_ssve_lat,0.36
sqxtunb_z_zz,sme2_ssve_lat,0.36
sqxtunt_z_zz,sme2_ssve_lat,0.36
srhadd_z_p_zz,sme2_ssve_lat,0.36
sri_z_zzi,sme2_ssve_lat,0.36
srshl_z_p_zz,sme2_ssve_lat,0.36
srshlr_z_p_zz,sme2_ssve_lat,0.36
srshr_z_p_zi,sme2_ssve_lat,0.36
srsra_z_zi,sme2_ssve_lat,0.37
sshllb_z_zi,sme2_ssve_lat,0.36
sshllt_z_zi,sme2_ssve_lat,0.36
ssra_z_zi,sme2_ssve_lat,0.36
ssublb_z_zz,sme2_ssve_lat,0.37
ssublbt_z_zz,sme2_ssve_lat,0.37
ssublt_z_zz,sme2_ssve_lat,0.37
ssubltb_z_zz,sme2_ssve_lat,0.37
ssubwb_z_zz,sme2_ssve_lat,0.37
ssubwt_z_zz,sme2_ssve_lat,0.37
sub_z_p_zz,sme2_ssve_lat,0.36
sub_z_zi,sme2_ssve_lat,0.36
sub_z_zz,sme2_ssve_lat,0.37
subhnb_z_zz,sme2_ssve_lat,0.37
subhnt_z_zz,sme2_ssve_lat,0.38
subr_z_p_zz,sme2_ssve_lat,0.36
subr_z_zi,sme2_ssve_lat,0.36
sudot_z_zzzi,sme2_ssve_lat,0.36
sunpkhi_z_z,sme2_ssve_lat,25.44
suqadd_z_p_zz,sme2_ssve_lat,0.36
sxtb_z_p_z,sme2_ssve_lat,0.36
tbl_z_zz,sme2_ssve_lat,24.94
tbl_z_zz_p1,sme2_ssve_lat,23.45
tbx_z_zz,sme2_ssve_lat,25.46
trn1_p_pp,sme2_ssve_lat,-49.83
trn1_p_pp_p1,sme2_ssve_lat,-49.81
trn1_z_zz,sme2_ssve_lat,0.37
trn1_z_zz_p1,sme2_ssve_lat,0.38
uaba_z_zzz,sme2_ssve_lat,0.37
uabalb_z_zzz,sme2_ssve_lat,0.37
uabalt_z_zzz,sme2_ssve_lat,0.37
uabd_z_p_zz,sme2_ssve_lat,0.36
uabdlb_z_zz,sme2_ssve_lat,0.37
uabdlt_z_zz,sme2_ssve_lat,0.37
uadalp_z_p_z,sme2_ssve_lat,0.36
uaddlb_z_zz,sme2_ssve_lat,0.37
uaddlt_z_zz,sme2_ssve_lat,0.37
uaddwb_z_zz,sme2_ssve_lat,0.37
uaddwt_z_zz,sme2_ssve_lat,0.37
uclamp_z_zz,sme2_ssve_lat,301.10
ucvtf_z_p_z,sme2_ssve_lat,-8.60
udiv_z_p_zz,sme2_ssve_lat,0.28
udivr_z_p_zz,sme2_ssve_lat,0.28
udot_z32_zzz,sme2_ssve_lat,0.37
udot_z32_zzzi,sme2_ssve_lat,0.36
udot_z_zzz,sme2_ssve_lat,0.37
udot_z_zzzi,sme2_ssve_lat,0.36
uhadd_z_p_zz,sme2_ssve_lat,0.36
uhsub_z_p_zz,sme2_ssve_lat,0.36
uhsubr_z_p_zz,sme2_ssve_lat,0.36
umax_z_p_zz,sme2_ssve_lat,0.36
umax_z_zi,sme2_ssve_lat,0.36
umaxp_z_p_zz,sme2_ssve_lat,0.36
umin_z_p_zz,sme2_ssve_lat,0.36
umin_z_zi,sme2_ssve_lat,0.36
uminp_z_p_zz,sme2_ssve_lat,0.36
umlalb_z_zzz,sme2_ssve_lat,0.37
umlalb_z_zzzi,sme2_ssve_lat,0.36
umlalt_z_zzz,sme2_ssve_lat,0.37
umlalt_z_zzzi,sme2_ssve_lat,0.36
umlslb_z_zzz,sme2_ssve_lat,0.37
umlslb_z_zzzi,sme2_ssve_lat,0.36
umlslt_z_zzz,sme2_ssve_lat,0.37
umlslt_z_zzzi,sme2_ssve_lat,0.36
umulh_z_p_zz,sme2_ssve_lat,0.36
umulh_z_zz,sme2_ssve_lat,0.37
umullb_z_zz,sme2_ssve_lat,0.37
umullb_z_zzi,sme2_ssve_lat,0.36
umullt_z_zz,sme2_ssve_lat,0.37
umullt_z_zzi,sme2_ssve_lat,0.36
uqadd_z_p_zz,sme2_ssve_lat,0.36
uqadd_z_zi,sme2_ssve_lat,0.36
uqadd_z_zz,sme2_ssve_lat,0.37
uqcvtn_z_mz2,sme2_ssve_lat,-2.75
uqdecb_r_rs,sme2_ssve_lat,0.51
uqdecb_r_rs_p1,sme2_ssve_lat,0.51
uqdecb_r_rs_p2,sme2_ssve_lat,0.51
uqdecd_r_rs,sme2_ssve_lat,0.51
uqdecd_r_rs_p1,sme2_ssve_lat,0.51
uqdecd_r_rs_p2,sme2_ssve_lat,0.51
uqdecd_z_zs,sme2_ssve_lat,0.35
uqdecd_z_zs_p1,sme2_ssve_lat,0.36
uqdech_r_rs,sme2_ssve_lat,0.51
uqdech_r_rs_p1,sme2_ssve_lat,0.51
uqdech_r_rs_p2,sme2_ssve_lat,0.51
uqdech_z_zs,sme2_ssve_lat,0.35
uqdech_z_zs_p1,sme2_ssve_lat,0.36
uqdecp_r_p_r,sme2_ssve_lat,-49.81
uqdecp_z_p_z,sme2_ssve_lat,0.36
uqdecw_r_rs,sme2_ssve_lat,0.51
uqdecw_r_rs_p1,sme2_ssve_lat,0.51
uqdecw_r_rs_p2,sme2_ssve_lat,0.51
uqdecw_z_zs,sme2_ssve_lat,0.35
uqdecw_z_zs_p1,sme2_ssve_lat,0.36
uqincb_r_rs,sme2_ssve_lat,0.51
uqincb_r_rs_p1,sme2_ssve_lat,0.51
uqincb_r_rs_p2,sme2_ssve_lat,0.51
uqincd_r_rs,sme2_ssve_lat,0.51
uqincd_r_rs_p1,sme2_ssve_lat,0.51
uqincd_r_rs_p2,sme2_ssve_lat,0.51
uqincd_z_zs,sme2_ssve_lat,0.35
uqincd_z_zs_p1,sme2_ssve_lat,0.36
uqinch_r_rs,sme2_ssve_lat,0.51
uqinch_r_rs_p1,sme2_ssve_lat,0.51
uqinch_r_rs_p2,sme2_ssve_lat,0.51
uqinch_z_zs,sme2_ssve_lat,0.35
uqinch_z_zs_p1,sme2_ssve_lat,0.36
uqincp_r_p_r,sme2_ssve_lat,-49.81
uqincp_z_p_z,sme2_ssve_lat,0.36
uqincw_r_rs,sme2_ssve_lat,0.51
uqincw_r_rs_p1,sme2_ssve_lat,0.51
uqincw_r_rs_p2,sme2_ssve_lat,0.51
uqincw_z_zs,sme2_ssve_lat,0.35
uqincw_z_zs_p1,sme2_ssve_lat,0.36
uqrshl_z_p_zz,sme2_ssve_lat,0.36
uqrshlr_z_p_zz,sme2_ssve_lat,0.36
uqrshrn_z_mz2,sme2_ssve_lat,-2.75
uqrshrnb_z_zi,sme2_ssve_lat,0.36
uqrshrnt_z_zi,sme2_ssve_lat,0.36
uqshl_z_p_zi,sme2_ssve_lat,0.36
uqshl_z_p_zz,sme2_ssve_lat,0.36
uqshlr_z_p_zz,sme2_ssve_lat,0.36
uqshrnb_z_zi,sme2_ssve_lat,0.36
uqshrnt_z_zi,sme2_ssve_lat,0.36
uqsub_z_p_zz,sme2_ssve_lat,0.36
uqsub_z_zi,sme2_ssve_lat,0.36
uqsub_z_zz,sme2_ssve_lat,0.37
uqsubr_z_p_zz,sme2_ssve_lat,0.36
uqxtnb_z_zz,sme2_ssve_lat,0.36
uqxtnt_z_zz,sme2_ssve_lat,0.36
urecpe_z_p_z,sme2_ssve_lat,0.36
urhadd_z_p_zz,sme2_ssve_lat,0.36
urshl_z_p_zz,sme2_ssve_lat,0.36
urshlr_z_p_zz,sme2_ssve_lat,0.36
urshr_z_p_zi,sme2_ssve_lat,0.36
ursqrte_z_p_z,sme2_ssve_lat,0.36
ursra_z_zi,sme2_ssve_lat,0.37
usdot_z_zzz,sme2_ssve_lat,0.37
usdot_z_zzzi,sme2_ssve_lat,0.36
ushllb_z_zi,sme2_ssve_lat,0.36
ushllt_z_zi,sme2_ssve_lat,0.36
usqadd_z_p_zz,sme2_ssve_lat,0.36
usra_z_zi,sme2_ssve_lat,0.36
usublb_z_zz,sme2_ssve_lat,0.37
usublt_z_zz,sme2_ssve_lat,0.37
usubwb_z_zz,sme2_ssve_lat,0.37
usubwt_z_zz,sme2_ssve_lat,0.37
uunpkhi_z_z,sme2_ssve_lat,25.44
uxtb_z_p_z,sme2_ssve_lat,0.36
uzp1_p_pp,sme2_ssve_lat,-26.43
uzp1_p_pp_p1,sme2_ssve_lat,0.32
uzp1_z_zz,sme2_ssve_lat,25.46
uzp1_z_zz_p1,sme2_ssve_lat,25.46
xar_z_zzi,sme2_ssve_lat,0.27
zip1_p_pp,sme2_ssve_lat,-49.83
zip1_p_pp_p1,sme2_ssve_lat,-49.81
zip1_z_zz,sme2_ssve_lat,25.46
zip1_z_zz_p1,sme2_ssve_lat,25.46
